epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.0247,1.19724,6.3727,1.32079,0.18876,0.28571,0.1575,0.10015,0.52137,8.14627,0.9356,2e-05,2e-05,2e-05
2,39.9053,1.20659,5.2152,1.47559,0.53376,0.85714,0.74038,0.5975,0.55169,6.65482,0.94543,5.703e-05,5.703e-05,5.703e-05
3,59.6654,0.98362,4.60736,1.27826,0.6839,1,0.89467,0.69657,0.74588,5.77884,1.0476,9.01e-05,9.01e-05,9.01e-05
4,77.0671,1.23616,3.94471,1.50861,0.98362,0.71429,0.88372,0.71793,0.76167,5.90082,1.06415,0.00011921,0.00011921,0.00011921
5,93.9444,0.91214,2.76673,1.13281,1,0.70937,0.87444,0.72136,0.71229,6.80092,1.06081,0.00014436,0.00014436,0.00014436
6,110.44,0.84642,2.59477,1.14436,0.7766,0.57143,0.58765,0.45286,0.77914,8.34088,1.10514,0.00016555,0.00016555,0.00016555
7,127.062,0.89494,2.75868,1.10653,0.95653,0.57143,0.57973,0.48038,0.8098,8.69155,1.12978,0.00018278,0.00018278,0.00018278
8,143.376,0.99168,2.66403,1.21727,0.04272,0.14286,0.0284,0.02037,1.11387,12.3312,1.37564,0.00019605,0.00019605,0.00019605
9,159.3,0.83027,2.22842,1.11421,0.19096,0.14286,0.08819,0.06955,1.34512,11.398,1.66261,0.00020536,0.00020536,0.00020536
10,174.934,0.9558,1.92826,1.19688,1,0.27804,0.29693,0.09056,1.72767,8.7469,2.05704,0.00021071,0.00021071,0.00021071
11,190.705,0.77172,3.07169,1.12301,1,0.2789,0.41462,0.14035,1.53297,6.85604,1.87296,0.0002121,0.0002121,0.0002121
12,206.046,0.7745,3.10781,1.11022,0.61994,0.57143,0.55167,0.24585,1.30419,5.82391,1.57963,0.00020953,0.00020953,0.00020953
13,221.504,0.70822,2.7839,1.00469,1,0.40816,0.47296,0.30643,0.98109,5.14935,1.24399,0.000203,0.000203,0.000203
14,237.492,0.70504,2.5658,1.09706,0.16438,0.14286,0.16046,0.12716,0.91208,6.74908,1.15819,0.00019251,0.00019251,0.00019251
15,253.589,0.68059,2.3578,1.06658,0.01858,0.57143,0.01696,0.01363,0.92625,7.87353,1.17606,0.00017806,0.00017806,0.00017806
16,269.776,0.67635,2.27473,0.99738,0.95496,0.57143,0.58874,0.40131,0.85226,4.85643,1.15675,0.00015965,0.00015965,0.00015965
17,286.095,0.58815,2.11571,1.03084,0.68744,0.71429,0.68101,0.57742,0.83575,3.81174,1.14208,0.00013728,0.00013728,0.00013728
18,302.315,0.64362,1.81034,0.95625,0.8276,0.71429,0.73833,0.63015,0.77719,3.33243,1.12046,0.00011095,0.00011095,0.00011095
19,318.631,0.65747,1.87912,1.04641,1,0.69759,0.755,0.64555,0.75774,3.1483,1.10899,8.066e-05,8.066e-05,8.066e-05
20,334.895,0.71406,1.69027,1.00423,0.98719,0.71429,0.7715,0.6535,0.75558,3.04624,1.09582,4.641e-05,4.641e-05,4.641e-05
